2022-02-16 21:10:59,657 [main.py         | 38] INFO: Start to run /Users/yangjingfeng/Library/CloudStorage/OneDrive-Personal/Public/PhD Study/Papers/Food_Delivery/Code/Food_delivery_simulator/Benchmark/Instance_small: instance_56
2022-02-16 21:10:59,658 [simulator_api.py | 43] INFO: Start time of the simulator: 2022-02-16 09:00:00, time interval:  600.00
2022-02-16 21:10:59,852 [input_utils.py  | 35] INFO: Get 1158 locations
2022-02-16 21:10:59,876 [input_utils.py  | 39] INFO: Get 85 drivers
2022-02-16 21:11:00,322 [input_utils.py  | 43] INFO: Get 798 orders
2022-02-16 21:11:00,322 [simulator_api.py | 75] INFO: Initial position of D_1 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,322 [simulator_api.py | 75] INFO: Initial position of D_2 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_3 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_4 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_5 is Alexandra Village Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_6 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_7 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_8 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_9 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_10 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_11 is Alexandra Village Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_12 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_13 is Alexandra Village Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_14 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,323 [simulator_api.py | 75] INFO: Initial position of D_15 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_16 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_17 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_18 is Alexandra Village Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_19 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_20 is Alexandra Village Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_21 is Alexandra Village Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_22 is Alexandra Village Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_23 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_24 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_25 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,324 [simulator_api.py | 75] INFO: Initial position of D_26 is Alexandra Village Food Centre
2022-02-16 21:11:00,325 [simulator_api.py | 75] INFO: Initial position of D_27 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,325 [simulator_api.py | 75] INFO: Initial position of D_28 is Alexandra Village Food Centre
2022-02-16 21:11:00,325 [simulator_api.py | 75] INFO: Initial position of D_29 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,325 [simulator_api.py | 75] INFO: Initial position of D_30 is Bukit Timah Market & Food Centre
