2022-02-07 22:15:08,636 [main.py         | 31] INFO: Start to run instance_2
2022-02-07 22:15:08,637 [simulator_api.py | 43] INFO: Start time of the simulator: 2022-02-07 06:00:00, time interval:  600.00
2022-02-07 22:15:08,775 [input_utils.py  | 36] INFO: Get 794 locations
2022-02-07 22:16:35,804 [input_utils.py  | 40] INFO: Get 630436 routes
2022-02-07 22:16:36,534 [input_utils.py  | 45] INFO: Get 60 drivers
2022-02-07 22:16:37,027 [input_utils.py  | 49] INFO: Get 2491 orders
2022-02-07 22:16:37,027 [simulator_api.py | 76] INFO: Initial position of D_1 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,027 [simulator_api.py | 76] INFO: Initial position of D_2 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,027 [simulator_api.py | 76] INFO: Initial position of D_3 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,027 [simulator_api.py | 76] INFO: Initial position of D_4 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_5 is Alexandra Village Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_6 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_7 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_8 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_9 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_10 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_11 is Alexandra Village Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_12 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_13 is Alexandra Village Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_14 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_15 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_16 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_17 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_18 is Alexandra Village Food Centre
2022-02-07 22:16:37,028 [simulator_api.py | 76] INFO: Initial position of D_19 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_20 is Alexandra Village Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_21 is Alexandra Village Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_22 is Alexandra Village Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_23 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_24 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_25 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_26 is Alexandra Village Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_27 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,029 [simulator_api.py | 76] INFO: Initial position of D_28 is Alexandra Village Food Centre
2022-02-07 22:16:37,030 [simulator_api.py | 76] INFO: Initial position of D_29 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,030 [simulator_api.py | 76] INFO: Initial position of D_30 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,030 [simulator_api.py | 76] INFO: Initial position of D_31 is Alexandra Village Food Centre
2022-02-07 22:16:37,030 [simulator_api.py | 76] INFO: Initial position of D_32 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,030 [simulator_api.py | 76] INFO: Initial position of D_33 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,031 [simulator_api.py | 76] INFO: Initial position of D_34 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,031 [simulator_api.py | 76] INFO: Initial position of D_35 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,031 [simulator_api.py | 76] INFO: Initial position of D_36 is Alexandra Village Food Centre
2022-02-07 22:16:37,031 [simulator_api.py | 76] INFO: Initial position of D_37 is Alexandra Village Food Centre
2022-02-07 22:16:37,031 [simulator_api.py | 76] INFO: Initial position of D_38 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,031 [simulator_api.py | 76] INFO: Initial position of D_39 is Alexandra Village Food Centre
